Front,Back
"What is the primary cloud-based identity and access management service in Azure?","Microsoft Entra ID"
"Which Microsoft Entra ID licensing tier is required to use Privileged Identity Management (PIM)?","Microsoft Entra ID P2"
"Which feature provides just-in-time, approval-based role activation for administrative access?","Privileged Identity Management (PIM)"
"What are the three categories of factors used in Multi-Factor Authentication (MFA)?","Something you know, something you have, and something you are."
"Which Azure feature serves as the 'Zero Trust policy engine' to make access decisions based on signals?","Conditional Access"
"What is the main benefit of using a managed identity for Azure resources?","It eliminates the need for developers to manage credentials or secrets manually."
"Which type of managed identity is tied directly to the lifecycle of a single Azure resource?","System-assigned managed identity"
"Which type of managed identity can be created as a standalone resource and assigned to multiple Azure resources?","User-assigned managed identity"
"What is the term for an attacker spreading from an initial compromised machine to others in the same environment?","Lateral movement"
"In an NSG rule, which priority number is evaluated first: 100 or 1000?","100"
"Which network security feature allows you to group virtual machines by application function rather than IP address?","Application Security Groups (ASGs)"
"Which service allows a central team to enforce global security admin rules across multiple subscriptions?","Azure Virtual Network Manager (AVNM)"
"Which Azure network layer provides FQDN filtering and threat-intelligence-based blocking?","Azure Firewall"
"Where must an Azure Firewall be deployed within a hub-and-spoke virtual network topology?","In a dedicated subnet named AzureFirewallSubnet."
"Which service provides a real network interface (NIC) with a private IP for connecting to PaaS services?","Private Endpoint"
"What is the purpose of an Azure Storage firewall rule set to 'Selected networks'?","It flips the default posture from allow-all to deny-all for the public endpoint."
"Which storage access tier is best for data that is rarely accessed and can tolerate hours of retrieval latency?","Archive tier"
"Which storage authorization model provides the most granular, auditable, and identity-based access control?","Microsoft Entra RBAC"
"What is the 'all-or-nothing' credential for an Azure Storage account that should be disabled for better security?","Shared Key"
"Which storage feature allows you to create time-limited, granular access tokens for specific resources?","Shared Access Signature (SAS)"
"What mechanism allows you to revoke SAS tokens immediately without rotating storage account keys?","Stored Access Policy"
"Which Defender for Storage capability detects sequential-read patterns suggesting data exfiltration?","Activity monitoring"
"Which Key Vault feature prevents the permanent destruction of a deleted object until a retention period expires?","Purge protection"
"What is the difference between Key Vault 'Standard' and 'Premium' tiers?","Premium supports hardware-protected (HSM) keys while Standard is software-protected."
"Which Key Vault plane governs operations on the secrets and keys stored inside the vault?","Data plane"
"Which Key Vault plane handles management tasks like creating the vault or changing network rules?","Control plane"
"What is the recommended default network posture for Key Vault in a production environment?","Private endpoint with public network access disabled."
"Which Defender for Cloud pillar focuses on proactive configuration assessment and 'Secure Score'?","Cloud Security Posture Management (CSPM)"
"Which Defender for Cloud pillar provides runtime threat detection for specific workloads like servers or databases?","Cloud Workload Protection Platform (CWPP)"
"What is the single aggregated percentage summarizing an organization's overall security posture in Defender for Cloud?","Secure Score"
"Which service acts as Microsoft's structured set of security controls spanning Azure, AWS, and GCP?","Microsoft Cloud Security Benchmark (MCSB)"
"Which tool is used to discover and query Azure resource data across subscriptions at scale?","Azure Resource Graph"
"What is a bundle of multiple Azure Policy definitions grouped around a single compliance goal?","Initiative"
"Which identity lifecycle process occurs when an individual enters the scope of needing access?","Joiner"
"Which identity lifecycle process occurs when an individual moves between organizational boundaries?","Mover"
"Which identity lifecycle process occurs when an individual exits the scope of needing access?","Leaver"
"Which Entra External ID feature is used to invite guest users like partners or vendors to collaborate?","B2B collaboration"
"Which Entra External ID feature is intended for customer-facing applications in a separate tenant?","CIAM (Customer Identity and Access Management)"
"Which service detects identity-based risks like leaked credentials or password spray attacks?","Microsoft Entra ID Protection"
"What are the three guiding principles of Zero Trust?","Verify explicitly, use least privilege access, and assume breach."
"Which hybrid identity tool uses a lightweight on-premises agent and keeps configuration in the cloud?","Microsoft Entra Cloud Sync"
"Which hybrid authentication method syncs a hash of on-premises passwords to Entra ID?","Password Hash Synchronization (PHS)"
"Which hybrid authentication method validates passwords in real-time against on-premises AD via an agent?","Pass-Through Authentication (PTA)"
"Which Entra feature allows users to change or reset their own passwords from a browser?","Self-Service Password Reset (SSPR)"
"Which Azure service provides multitenant management for service providers across different customer tenants?","Azure Lighthouse"
"Which tool provides a 'secure, scalable starting point' for onboarding new subscriptions and workloads?","Azure landing zone"
"What is the 'immutable' state for an Azure Backup vault?","It prevents any operation that would reduce the amount of recoverable data."
"Which service allows you to view your organization's security posture as an outside attacker would see it?","Microsoft Defender External Attack Surface Management (EASM)"
"Which Defender for Containers technology observes system activity at the Linux kernel level without a heavy agent?","eBPF (extended Berkeley Packet Filter)"
